Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Community,Belong,Outer circle,3,3,Development,1000,1001,Religious services ,Attending religious services for longer life,Learn more about if your beliefs align with a particular religion and how regularly attending services could be good for your health.,"A study has shown that attending religious services and having that support structure has many benefits, including helping them to live longer as well as lowering blood pressure and cardiovascular disease. Read this article to hear more about the research. ",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://link.springer.com/article/10.1007/s10943-013-9783-1, https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189134",,Medical news today ,Content writer ,https://www.medicalnewstoday.com/articles/320581,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.medicalnewstoday.com,N/A,Yearly,,Nature,Content writer,https://www.nature.com/articles/news.2008.990,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/nature.com,N/A,Yearly,,Life coach code,Content writer,https://www.lifecoachcode.com/2021/08/22/how-to-find-the-right-religion-for-you/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Community,Belong,Outer circle,3,3,Maintenance,1001,,Services near you,Find a religious service,Find a religious service that fits with your belief system and attend weekly services.,,Sign up,UK,Weekly,Nature,https://www.nature.com/articles/news.2008.990,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://link.springer.com/article/10.1007/s10943-013-9783-1, https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0189134",,Nature,Content writer,https://www.nature.com/articles/news.2008.990,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/nature.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,4,3,Development,1002,1003,Volunteer projects,Learn about volunteering projects for over 50s,Learn about the benefits of volunteering as well as volunteering project developed for those over the age of 50.,"Helping others can be an excellent way to connect with others, as well as your community. Volunteering impacts everyone involved and is a rewarding endeavour with numerous benefits.",Read,UK,,,,50-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Volunteering matters,Charity,https://volunteeringmatters.org.uk/pillars/older-people/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Help guide,Chairty,https://www.helpguide.org/articles/healthy-living/volunteering-and-its-surprising-benefits.htm,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Harvard Health ,Company,https://www.health.harvard.edu/blog/volunteering-may-be-good-for-body-and-mind-201306266428,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,4,3,Maintenance,1003,,Volunteer your time,Volunteering projects for over 50s,Join a volunteering project developed for those over the age of 50.,,Sign up,UK,Weekly,Volunteering matters,https://volunteeringmatters.org.uk/pillars/older-people/,50-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Volunteering matters,Charity,https://volunteeringmatters.org.uk/pillars/older-people/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,2,Development,1004,1005,Volunteer for Scouts,Learn about volunteering to teach young minds new skills,"Were you a Scout, do you have skills that could be useful to teach young minds? Learn more about volunteering with the Scouts to help teach children new skills.",Volunteering with the Scouts is not only about giving your time and skills. It's also about making a difference in the lives of young people and helping them develop skills that will last a lifetime.,Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Scouts,Charity,https://www.scouts.org.uk/volunteer/volunteering-with-scouts/what-do-volunteers-do/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Go outdoors,Content writer,https://blog.gooutdoors.co.uk/how-and-why-to-volunteer-for-the-scout-association/,Online,N/A,Free,No,None,,,4.6,https://uk.trustpilot.com/review/www.gooutdoors.co.uk,N/A,Yearly,,Her campus,Content writer,https://www.hercampus.com/school/leeds/benefits-volunteering-scouts/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,2,Maintenance,1005,,Scouts volunteering,Volunteer to teach young minds new skills,Sign up to start volunteering with Scouts to help teach children new skills and use your skills to help improve their lives while helping you to benefit from the benefits of volunteering.,,Sign up,UK,Weekly,Scouts,https://www.scouts.org.uk/volunteer/volunteering-with-scouts/what-do-volunteers-do/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Scouts,Charity,https://www.scouts.org.uk/volunteer/volunteering-with-scouts/what-do-volunteers-do/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,2,Development,1006,1007,Volunteer your skill,Learn about teaching others your skill,"If you have a particular skill, that you think would be useful to others, learn more about how to teach your skill to help benefit others.","Teaching others offers the opportunity to change other people's lives permanently, for the better. By helping others, you can help to develop somebody's subject knowledge and maybe even their mind and personality. Teaching others is an incredibly rewarding thing to do.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,University of the third age,Charity,https://www.u3a.org.uk/index.php,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Skills you need,Content writer,https://www.skillsyouneed.com/learn/teaching-skills.html,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Inc,Content writer,https://www.inc.com/kevin-daum/how-to-teach-anything-to-anyone.html,Online,N/A,Free,No,None,,,3.2,https://uk.trustpilot.com/review/inc.com,N/A,Yearly,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,2,Maintenance,1007,,Share your skill,Teach others your skill,"Do you have a particular skill that you think would be useful to others? From art to zoology, volunteer some of your time to help teach others a skill that you have.",,Sign up,UK,Weekly,University of the third age,https://www.u3a.org.uk/index.php,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,University of the third age,Charity,https://www.u3a.org.uk/index.php,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,3,Development,1008,1009,Raise a Guide dog,Learn about becoming a guide dog puppy raiser ,"Learn more about becoming a guide dog puppy raiser, for those with a love of animals, with extra love and time to give towards making a big difference in someone life.","Volunteer puppy raisers receive a pup when they are approximately 8 weeks old and will teach them house manners, provide socialisation experiences, and prepare them for their future career as a guide dog. Creating a rewarding experience for yourself, while helping others.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://books.google.co.uk/books?hl=en&lr=&id=LzrLBAAAQBAJ&oi=fnd&pg=PA19&dq=benefits+of+pets+on+elderly&ots=a5gPjj1eeX&sig=2ocgF3mxfZavt295fZpgw64C8Dk&redir_esc=y#v=onepage&q=benefits%20of%20pets%20on%20elderly&f=false, https://www.tandfonline.com/doi/abs/10.1300/J052v15n03_02",,Guide dogs ,Charity ,https://www.guidedogs.org.uk/how-you-can-help/volunteering-for-guide-dogs/volunteer-role-descriptions/puppy-raiser/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Country living,Company,https://www.countryliving.com/uk/wildlife/pets/a42529255/raise-puppy-guide-dogs-uk/,Online,N/A,Free,No,None,,,2.8,https://uk.trustpilot.com/review/www.countryliving.com,N/A,Yearly,,BBC,Company,https://www.bbc.co.uk/news/av/uk-64148085,Online,N/A,Free,No,None,,,1.2,https://uk.trustpilot.com/review/www.bbc.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Community,Contribute,Giving back,5,3,Maintenance,1009,,Guide dog raising,Apply to become a guide dog puppy raiser ,"If you love dogs and would like to make a difference in someone's life, apply to become a guide dog puppy raiser, and help to raise a puppy as it begins its journey to be a guide dog.",,Sign up,UK,Daily,Guide dogs ,https://www.guidedogs.org.uk/how-you-can-help/volunteering-for-guide-dogs/volunteer-role-descriptions/puppy-raiser/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working","https://books.google.co.uk/books?hl=en&lr=&id=LzrLBAAAQBAJ&oi=fnd&pg=PA19&dq=benefits+of+pets+on+elderly&ots=a5gPjj1eeX&sig=2ocgF3mxfZavt295fZpgw64C8Dk&redir_esc=y#v=onepage&q=benefits%20of%20pets%20on%20elderly&f=false, https://www.tandfonline.com/doi/abs/10.1300/J052v15n03_02",,Guide dogs ,Charity ,https://www.guidedogs.org.uk/how-you-can-help/volunteering-for-guide-dogs/volunteer-role-descriptions/puppy-raiser/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Development,1010,1011,Device accessibility,Learn about making your devices easier to use,"Learn more about helpful features on your devices, to help you get the best experience you can.","Many devices, including smartphones and tablets come with a range of features which can be adjusted so that your device better meets your needs. ",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Age Uk,Charity,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/downloading-apps/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Age Uk,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/online-terms/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Maintenance,1011,,Device accessibility,Make your devices easier to use,Start using helpful features on your devices to start getting the most out of them.,,Sign up,UK,Weekly,Age UK,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/device-accessibility/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Teaching,5,2,Development,1012,1013,Create a course,Learn about creating a course to teach others new skills,"If you have a particular skill that you think would be useful to others, learn more about how to create a course to teach your skills to help benefit others.","Creating a course to teach others offers the opportunity to change other people's lives permanently for the better. By helping others, you can help to develop somebody's subject knowledge and maybe even their mind and personality. Teaching others is an incredibly rewarding thing to do.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Open learn,Company,https://www.open.edu/openlearncreate/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Teachable,Company,https://teachable.com/,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/teachable.com,N/A,Yearly,,Udemy,Company,https://www.udemy.com/join/login-popup/?brand_id=1594187&locale_id=1&next=%2Fsupport&return_to=https%3A%2F%2Fbusiness-support.udemy.com%2Fhc%2Fen-us%2Fsections%2F115001564048-Creating-a-Custom-Course%3Fmatchtype%3Db%26msclkid%3D7b833a73588d1569f0645e5b24ff0462%26utm_campaign%3DBG-DSA_Webindex_la.EN_cc.BE%26utm_content%3Ddeal4584%26utm_medium%3Dudemyads%26utm_source%3Dbing%26utm_term%3D_._ag_1222657343651662_._ad__._kw_udemy_._de_c_._dm__._pl__._ti_dat-2328215871879260%253Aloc-188_._li_132721_._pd__._&timestamp=1680374922,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/udemy.com,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Teaching,5,2,Maintenance,1013,,Build a course,Create a course to teach others new skills,"Sign up to create your own course, help teach others about your skills.",,Sign up,All,Weekly,Open learn,https://www.open.edu/openlearncreate/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Open learn,Company,https://www.open.edu/openlearncreate/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Development,1014,1015,IT training ,Learn about computer training courses,"If you don't feel completely comfortable or confident working on a computer, learn more about IT training courses to help you feel at home using your computer.","Over the past few years, technology has adapted and evolved beyond anyone’s expectations. Today, almost everything we do requires some digital input and skills, from the way people communicate with one another, to business transactions.",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/services/in-your-area/it-training/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,Personnel today,Content writer,https://www.personneltoday.com/hr/why-it-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Global knowledge,Content writer,https://www.globalknowledge.com/us-en/resources/resource-library/articles/the-10-most-important-it-skills-for-2020/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Maintenance,1015,,IT training ,Take a computer training course,Sign up to an IT training course near you to help you feel at home using your computer and build up your technical skills.,,Sign up,UK,Weekly,Age UK,https://www.ageuk.org.uk/services/in-your-area/it-training/,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age UK,Charity ,https://www.ageuk.org.uk/services/in-your-area/it-training/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Development,1016,1016,IT training ,Learn about computer training courses,"If you don't feel completely comfortable, or confident working on a computer, learn more about IT training courses, to help you feel at home using your computer.","Over the past few years, technology has adapted and evolved beyond anyone’s expectations. Today, almost everything we do requires some digital input and skills, from the way people communicate with one another, to business transactions.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Open university,Company,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Personnel today,Content writer,https://www.personneltoday.com/hr/why-it-training-is-important/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Global knowledge,Content writer,https://www.globalknowledge.com/us-en/resources/resource-library/articles/the-10-most-important-it-skills-for-2020/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Upskill,Educational foundation,1,3,Maintenance,1017,,IT training ,Take a computer training course,"Sign up to an IT training course near you, to help you feel at home using your computer, and build up your technical skills.",,Sign up,UK,Weekly,Open university,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Open university,Company,https://www.open.edu/openlearn/digital-computing/introducing-computing-and-it/content-section-0?active-tab=description-tab,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Share,Educational foundation,1,3,Development,1018,1019,Sharing knowledge,Learn about sharing your knowledge and skills,"If you have a particular knowledge, and skills that you think would be useful to others, learn more about how to share your skills to help benefit others.","Sharing knowledge with others offers the opportunity to change other people's lives permanently for the better. By helping others, you can help to develop somebody's subject knowledge, maybe even their mind and personality. Sharing your knowledge with others can also be an incredibly rewarding.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Forbes,Company,https://www.forbes.com/sites/work-in-progress/2013/07/25/5-ways-to-share-your-professional-expertise-and-4-reasons-you-should/?sh=1f4d3f4e1cfa,Online,N/A,Free,No,None,,,1.8,https://uk.trustpilot.com/review/www.forbes.com,N/A,Yearly,,Gov loop,Company,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Easy generator,Content writer,https://www.easygenerator.com/en/blog/knowledge-sharing/how-to-share-knowledge-effectively/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Share,Educational foundation,1,3,Maintenance,1019,,Sharing knowledge,Share your knowledge and skills with others,"Do you have particular knowledge or skills that you think would be useful to others? From art to zoology, share some of your time to help teach others a skill that you have.",,Sign up,UK,Weekly,Gov loop,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Gov loop,Company,https://www.govloop.com/community/blog/pass-9-ways-share-knowledge/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Share,Identifying upskill opportunities ,2,3,Development,1020,1021,Mental health volunteering,Learn more about volunteering to help others,"If you feel you could help others through a tough time, learn more about volunteering for a mental health charity.","As a mental health volunteer, you will be taking conversations with children, young people and adults who are struggling to cope and helping them through a tough time or situation.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Mind,Charity,https://www.mind.org.uk/get-involved/volunteering-and-participating/,Online,N/A,Free,No,None,,,2.5,https://uk.trustpilot.com/review/www.mind.org.uk,N/A,Yearly,,Rethink,Charity,https://www.rethink.org/get-involved/use-your-experience/volunteer-with-us/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Anxiety UK,Charity,https://www.anxietyuk.org.uk/get-involved/volunteer-with-us/,Online,N/A,Free,No,None,,,4.1,https://uk.trustpilot.com/review/www.anxietyuk.org.uk,N/A,Yearly,,,,,,,,,,,,,,,,
