Pillar,Category,Level Description,Level,Impact,DDMType,ID/Internal Name,Maintenance Ref,Display Name,Summary,Full Description,Content Type,CTAButtonTitle,Region,Frequency,Action_Provider,CTAURL,"ApplicableAgeRange (from-to, separated by comma)",Applicable Genders (separated by comma),ApplicableEmploymentStatuses (separated by comma),Website Reference,MA Marketplace,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,G,Action_Provider,Provider_category,CTAURL,Delivery,Postcode,Free_paid,Afilliate payable,Affiliate platform,Start date,End date,Trust Pilot Rating,Trustpilot url,ESG Concerns,Review Date,END
Learning,Share,Identifying upskill opportunities ,2,3,Maintenance,1021,,Volunteer your time,Volunteer to help others with mental health difficulties,"Sign up to volunteer, and get the training to help others through their mental health difficulties and make a difference in people’s lives.",,Sign up,UK,Weekly,Mind,https://www.mind.org.uk/get-involved/volunteering-and-participating/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://academic.oup.com/psychsocgerontology/article/58/3/S137/583366,,Mind,Charity,https://www.mind.org.uk/get-involved/volunteering-and-participating/,Online,N/A,Free,No,None,,,2.5,https://uk.trustpilot.com/review/www.mind.org.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Development,1022,1023,Using the internet,Helping you get the most out of the internet,"The internet can be an intimidating place, read this guide to help you make the most use out of using the internet.","You might be surprised at how much you're able to do on the internet. You can connect with friends and family, take care of shopping, banking, as well as access services such as your GP surgery.  The internet can also be a great source of entertainment and education if you know how.",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,Age Uk,Charity,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/getting-online/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,GFC global,Company,https://edu.gcfglobal.org/en/computerbasics/getting-started-with-the-internet/1/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,GFC global,Company,https://edu.gcfglobal.org/en/internetbasics/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Maintenance,1023,,Using the internet,Get internet savvy,Sign up to take an internet tutorial to help you get started and make the most out of the internet.,,Sign up,UK,Daily,GFC global,https://edu.gcfglobal.org/en/internetbasics/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.psychologicalscience.org/news/releases/learning-new-skills-keeps-an-aging-mind-sharp.html,,GFC global,Company,https://edu.gcfglobal.org/en/internetbasics/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Development,1024,1025,Internet security,Learn about staying safe online,"Learn about how to stay safe on the internet, to get the most out of your internet usage.","The internet can make life a lot easier, but it doesn't come without the risk of online scams and frauds. Learn to protect yourself from scams and frauds, by learning what to look out for, and what to do if you suspect a scam.",Read,UK,,,,60-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Age Uk,Charity,https://www.ageuk.org.uk/information-advice/work-learning/technology-internet/internet-security/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/ageuk.co.uk,N/A,Yearly,,BT,Company,https://community.bt.com/t5/Announcements-Guides-Community/Staying-safe-online-Free-10-minute-training/td-p/2187501,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/bt.com,N/A,Yearly,,NCSC,Government Dept,https://www.ncsc.gov.uk/collection/top-tips-for-staying-secure-online,Online,N/A,Free,No,None,,,3.2,https://uk.trustpilot.com/review/www.ncsc.gov.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Educational foundation,1,1,Maintenance,1025,,Internet security,Stay safe online ,Sign up to take a quick internet safety course and make a habit of using safety practices while you are on the internet.,,Sign up,UK,Daily,BT,https://community.bt.com/t5/Announcements-Guides-Community/Staying-safe-online-Free-10-minute-training/td-p/2187501,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,BT,Company,https://community.bt.com/t5/Announcements-Guides-Community/Staying-safe-online-Free-10-minute-training/td-p/2187501,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/bt.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning,Foundation,Advanced learning,4,1,Development,1026,1027,Watch video lectures,Learn more about video lectures,"Video lectures collects scientific learning from around the globe, from universities such as Stanford and MIT, presenting them in accessible video lectures.","There are a range of benefits of continuous learning, including helping you to gain more confidence. Continuous learning helps to open your mind and change your attitude by building on what you already know, while helping you to see and understand more deeply.",Visit site,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Video lectures,Company,http://videolectures.net/Top/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,LinkedIn,Company,https://www.linkedin.com/pulse/7-reasons-students-learn-better-video-travis-bergwall/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.linkedin.com,N/A,Yearly,,Oxford University,Company,https://www.ox.ac.uk/students/academic/guidance/skills/recorded-lectures,Online,N/A,Free,No,None,,,3.2,https://uk.trustpilot.com/review/www.ox.ac.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Learning,Foundation,Advanced learning,4,1,Maintenance,1027,,Watch video lectures,"Watch video lectures online, from the comfort of your home",Start watching video lectures to build a habit of continual learning on subjects that interest you.,,Sign up,All,Weekly,Video lectures,http://videolectures.net/Top/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",https://www.tandfonline.com/doi/abs/10.1300/J016v28n04_01,,Video lectures,Company,http://videolectures.net/Top/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1028,1029,Mystery shopping,Lean more about mystery shopping,"Learn more about mystery shopping, and how you can get paid for doing something you love.","As a mystery shopper you might be tasked with anything from visiting a cafe chain, phoning a call centre or even getting your eyes tested at an opticians. The role of a mystery shopper is to help organisations and businesses assess the service their customers are really receiving.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,mystery shopper,Company,https://www.mystery-shoppers.co.uk/its-not-just-shopping/mystery-diners/,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/mystery-shoppers.co.uk,N/A,Yearly,,Money checker,Content writer,https://moneycheck.com/mystery-shopper-jobs/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,LinkedIn,Company,https://www.linkedin.com/pulse/what-you-need-know-being-mystery-shopper-insightsopinion/,Online,N/A,Free,No,None,,,1.5,https://uk.trustpilot.com/review/www.linkedin.com,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1029,,Mystery shopping,Sign up to become a mystery shopper,"If you have a love of shopping, sign up to become a mystery shopper and get paid for doing what you love.",,Sign up,UK,Weekly,mystery shopper,https://www.mystery-shoppers.co.uk/its-not-just-shopping/mystery-diners/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,mystery shopper,Company,https://www.mystery-shoppers.co.uk/its-not-just-shopping/mystery-diners/,Online,N/A,Free,No,None,,,2.9,https://uk.trustpilot.com/review/mystery-shoppers.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1030,1031,Friends for rent,Learn more about friends for rent,"Learn more about being a rent a friend, where you get paid to keep someone company, give advice, or just be someone for them to spend time with, earn money while getting to make new friends.","You can actually be paid for being someone’s friend. In this day and age, people are spending more time online and it makes sense to look for friendship in the same space. Being an online companion is one of the most enjoyable things you can do in this digital era and get paid.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Rent a friend,Company,https://rentafriend.com/beafriend/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Vital dollar,Content writer,https://vitaldollar.com/rent-friend/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Project unthethered,Company,https://www.projectuntethered.com/get-paid-to-be-an-online-friend/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1031,,Friends for rent,Become a friend for rent to earn extra income,Sign up to become a friend for rent and make a habit of earning money while making new connections and friends.,,Sign up,All,Weekly,Rent a friend,https://rentafriend.com/beafriend/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Rent a friend,Company,https://rentafriend.com/beafriend/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1032,1033,Homes for filming,Learn more about renting your property,"If you feel your house or garden is unique, exciting, or if you feel your house can offer something different, why not look into renting it out, and let your house be the movie star it was born to be.",Would you like to see a famous actor hanging out in your living room. Perhaps you have a home with a unique and special vibe. Or does the film industry interest you and you’d like to be a part of it. Renting your home could be a possibility for you to make some extra money.,Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Amazing space,Company,https://amazingspace.co.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Money magpie,Content writer,https://www.moneymagpie.com/make-money/renting-your-home-as-a-film-set-2,Online,N/A,Free,No,None,,,3.5,https://uk.trustpilot.com/review/moneymagpie.com,N/A,Quarterly,,Saga,Company,https://www.saga.co.uk/magazine/money/personal-finance/making-money/earn-money-renting-your-home-to-film-and-tv-companies,Online,N/A,Free,No,None,,,4.5,https://uk.trustpilot.com/review/www.saga.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1033,,Homes for filming,Sign up to rent out your house for films and photo shoots,"Sign up to rent your house out for films or photo shoots, make a habit of creating some extra income from your property.",,Sign up,UK,Monthly,Amazing space,https://amazingspace.co.uk/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Amazing space,Company,https://amazingspace.co.uk/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1034,1035,Rent your parking,Learn about renting your parking,"If you have space on your driveway, a garage or ev charger, rent it out to earn some extra income.","Make some passive income by renting your parking space. If you don’t have a vehicle or simply have extra designated space, you could rent your driveway or garage to make some extra money.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Just Park,Company,https://www.justpark.com/how-it-works/rent-out-your-driveway,Online,N/A,Free,No,None,,,4.6,https://uk.trustpilot.com/review/justpark.com,N/A,Yearly,,Money saving expert,Content writer,https://www.moneysavingexpert.com/shopping/cheap-parking-rental/,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/moneysavingexpert.co.uk,N/A,Yearly,,Your parking space,Company,https://www.yourparkingspace.co.uk/insights/why-renting-parking-space-is-great-idea-to-earn-side-income,Online,N/A,Free,No,None,,,4.5,https://uk.trustpilot.com/review/yourparkingspace.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1035,,Rent your parking,Rent out your parking space for extra money,Sign up to rent out your parking space to make a healthy habit of earning income from your property.,,Sign up,UK,Weekly,Just Park,https://www.justpark.com/how-it-works/rent-out-your-driveway,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Just Park,Company,https://www.justpark.com/how-it-works/rent-out-your-driveway,Online,N/A,Free,No,None,,,4.6,https://uk.trustpilot.com/review/justpark.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1036,1037,Review for money,Learn about reviewing for extra money,"If you feel you have a good ear for music, or an eye for fashion, learn more about reviewing and feedback for some extra money.","Some companies will pay customers to leave candid feedback about their products, while others provide free product samples in exchange for reviews. If you want to make extra money, getting paid to write reviews can be a great way to do it.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Slice the pie,Company,https://www.slicethepie.com/,Online,N/A,Free,No,None,,,3.7,https://uk.trustpilot.com/review/www.slicethepie.com,N/A,Yearly,,Well kept wallet,Content writer,https://wellkeptwallet.com/get-paid-to-write-reviews/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Money saving expert,Content writer,https://www.moneysavingexpert.com/family/product-testing-sites/,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.moneysavingexpert.com,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1037,,Review for money,Review for money,"Sign up to review music, fashion or advertisements and make a habit of earning money doing things that you enjoy.",,Sign up,All,Weekly,Slice the pie,https://www.slicethepie.com/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Slice the pie,Company,https://www.slicethepie.com/,Online,N/A,Free,No,None,,,3.7,https://uk.trustpilot.com/review/www.slicethepie.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1038,1039,Sell your skills ,Learn about selling your skills,Do you have a skill or hobby that can be monetised? Learn more about how you can make money from doing the things that you enjoy.,"If you have passion or knowledge about on a certain skill, look into turn it into a profitable side business that you can market and sell online. That's a pretty good income for doing something that you love. Of course, the more skills you have to offer, the more money you can make!",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Fiverr,Company,https://www.fiverr.com/,Online,N/A,Free,No,None,,,3.8,https://uk.trustpilot.com/review/www.fiverr.com,N/A,Yearly,,Ways to wealth,Content writer,https://www.thewaystowealth.com/make-money/fiverr/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,Digital fodder,Content writer,https://www.digitalfodder.com/how-to-make-money-on-fiverr/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1039,,Sell your skills ,Sell your skills or hobbies online,"Sign up to monetise your skills from graphic design to astrology readings, set your price and start making regular money from your unique skills and hobbies.",,Sign up,All,Weekly,Fiverr,https://www.fiverr.com/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Fiverr,Company,https://www.fiverr.com/,Online,N/A,Free,No,None,,,3.8,https://uk.trustpilot.com/review/www.fiverr.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1040,1041,Sell your stuff,Learn about selling your stuff online,"Whether decluttering, downsizing or just want to get rid of a few things, learn about selling your things online to earn some money, while getting rid of the items that you no longer need.","No matter your reasoning for wanting to get rid of some of your things, selling online is the new way to reach your audience in an easy and effective way. Helping you to declutter and make some money in a easy seamless way. ",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Shpock,Company,https://www.shpock.com/en-gb,Online,N/A,Free,No,None,,,2.2,https://uk.trustpilot.com/review/shpock.com,N/A,Yearly,,Which,Content writer,https://www.which.co.uk/reviews/shopping-sustainably/article/second-hand-shopping-online/how-to-sell-second-hand-online-aY8e54S9ikBH,Online,N/A,Free,No,None,,,1.6,https://uk.trustpilot.com/review/www.which.co.uk,N/A,Yearly,,Huffington post,Company,https://www.huffingtonpost.co.uk/entry/best-websites-for-selling-stuff_uk_602e8774c5b67c32961bec92,Online,N/A,Free,No,None,,,2.8,https://uk.trustpilot.com/review/huffingtonpost.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1041,,Sell your stuff,Sell your stuff online,"Sign up, make a habit of decluttering and selling any items that you have around that you no longer need.",,Sign up,UK,Weekly,Shpock,https://www.shpock.com/en-gb,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Shpock,Company,https://www.shpock.com/en-gb,Online,N/A,Free,No,None,,,2.2,https://uk.trustpilot.com/review/shpock.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1042,1043,Sell your things,Learn about selling your things at a car boot sale,"Learn more about how to find car boots and how to make money selling items, at one near you.","Make a day out of selling your things, by getting out in the open, for some sun and fresh air, getting to chat and meet new people whilst selling your things and making some extra money.",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Car boot directory,Company,https://carbootdirectory.co.uk/car-boot-sales-near-me/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,The mini millionaire,Content writer,https://theminimillionaire.com/how-to-find-a-local-car-boot-sale/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,The best of,Content writer,https://www.thebestof.co.uk/local/lichfield/community-hub/blog/view/what-sells-well-at-car-boot-sales/,Online,N/A,Free,No,None,,,2,https://uk.trustpilot.com/review/www.thebestof.co.uk,N/A,Yearly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1043,,Sell your things,Sell your things at a car boot sale,Sign up to find a car boot sale near you. Sell your items for some extra cash.,,Sign up,UK,Monthly,Car boot directory,https://carbootdirectory.co.uk/car-boot-sales-near-me/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Car boot directory,Company,https://carbootdirectory.co.uk/car-boot-sales-near-me/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1044,1045,Selling your photos,Learn about selling your photos online,"If you are a photographer, a budding photographer or just enjoy taking photos, learn about selling your photos online to create extra income doing something you love.","If you believe you have taken some photos people would be willing to pay for, start sharing your work online and start earning.",Read,All,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Shutterstock,Company,https://submit.shutterstock.com/,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/submit.shutterstock.com,N/A,Yearly,,Money magpie,Content writer,https://www.moneymagpie.com/make-money/sell-your-photos,Online,N/A,Free,No,None,,,3.5,https://uk.trustpilot.com/review/moneymagpie.com,N/A,Quarterly,,Modula,Content writer,https://wp-modula.com/best-places-to-sell-photos-online-and-make-money/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Maintenance,1045,,Selling your photos,Sell your photos online,Sign up to create a habit of earning money from doing something you love.,,Sign up,All,Weekly,Shutterstock,https://submit.shutterstock.com/,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",,,Shutterstock,Company,https://submit.shutterstock.com/,Online,N/A,Free,No,None,,,2.1,https://uk.trustpilot.com/review/submit.shutterstock.com,N/A,Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wealth,Manage,Savings & protection,2,1,Development,1046,1047,Want to be an extra,Be an extra in movies,"Learn more about becoming an extra for films and tv series, and see if being an extra is for you.","Lights! Camera! Action! Have your moment in the spotlight by becoming an extra and earn money doing something you enjoy, and maybe get to meet some celebrities while you are at it!",Read,UK,,,,0-99,"Male, Female, Non-conforming","Working, Retired, Not-Working",N/A,,Casting collective,Company,https://www.castingcollective.co.uk/artistes,Online,N/A,Free,No,None,,,3.6,https://uk.trustpilot.com/review/www.castingcollective.co.uk,N/A,Yearly,,Backstage,Company,https://www.backstage.com/magazine/article/make-living-extra-380/,Online,N/A,Free,No,None,,,1.6,https://uk.trustpilot.com/review/www.backstage.com,N/A,Yearly,,Film on a shoe string,Content writer,https://filmsonashoestring.com/film-tv-extra/,Online,N/A,Free,No,None,,,N/A,N/A,N/A,Quarterly,,,,,,,,,,,,,,,,
